1 Hello Transformers
2 Text Classification
3 Transformer Anatomy
4 Question Answering
5 Making Transformers Efficient in Production
6 Multilingual Named Entity Recognition
7 Dealing With Few to No Labels
8 Text Generation
9 Summarization
10 Training Transformers from Scratch
11 Future Directions
